User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,True_Class
User_35,2025-01-01 02:55:08,0.301,0.0575,Walking,Koila,Driving_Under_Influence,2way,2,20,3G,-92,50,-17,0.0014671240798621,40.322102995199025,21.79147566367789,Unintentional
User_95,2025-01-01 07:00:05,0.36,0.2759,Driving,Ligeris,Driving_Under_Influence,2way,0,50,5G,-101,27,7,0.044,40.30550128697307,21.80673707396348,Unintentional
User_12,2025-01-01 09:38:26,0.74,0.2831,Driving,Koila,Driving_Under_Influence,1way,1,80,4G,-73,45,24,0.0056043025643368,40.32157976189006,21.78979431113612,Unintentional
User_40,2025-01-01 09:50:32,0.357,0.0891,Running,Koila,Reckless_Driving,2way,0,60,4G,-73,64,17,0.0091070700032524,40.32114341300988,21.79168777415168,Unintentional
User_95,2025-01-01 10:07:26,0.36,0.2769,Walking,Ligeris,Reckless_Driving,2way,0,20,WiFi,-84,91,11,0.021,40.306208134224214,21.807518322190948,Unintentional
User_78,2025-01-01 16:03:52,0.615,0.21,Walking,Ligeris,Driving_Under_Influence,2way,3,50,WiFi,-60,64,-17,0.0083537671633806,40.30686528075846,21.807463077585805,Unintentional
User_51,2025-01-02 00:25:13,0.574,0.1373,Driving,Ligeris,Driving_Under_Influence,1way,0,50,WiFi,-79,17,4,0.042,40.30584650556349,21.806906150995072,Unintentional
User_98,2025-01-02 05:19:42,0.734,0.149,Driving,Zep,Driving_Under_Influence,1way,2,20,5G,-87,60,12,0.034,40.278665571073354,21.752825798557588,Unintentional
User_16,2025-01-02 09:23:45,0.455,0.2738,Running,Koila,Speeding,1way,0,40,3G,-80,26,-5,0.036,40.32041109288333,21.792056704592884,Unintentional
User_52,2025-01-02 10:53:39,0.706,0.4024,Driving,Zep,Speeding,2way,0,10,3G,-107,16,-25,0.0094694927073337,40.280220682077136,21.752397792345185,Unintentional
User_65,2025-01-02 12:18:17,0.654,0.2592,Running,Zep,Speeding,1way,4,60,WiFi,-54,86,-19,0.0084477171044229,40.27906698378181,21.7524228288254,Unintentional
User_48,2025-01-02 13:45:47,0.636,0.1969,Driving,Koila,Speeding,4way,3,60,5G,-72,29,-3,0.03,40.32183774354811,21.79150734571852,Unintentional
User_32,2025-01-02 19:24:42,0.684,0.1023,Running,Ligeris,Reckless_Driving,1way,0,80,3G,-115,61,20,0.0010322440253031,40.30594535838311,21.806493242193564,Unintentional
User_42,2025-01-02 20:23:40,0.544,0.3703,Driving,Koila,Reckless_Driving,2way,0,80,3G,-97,20,-2,0.022,40.32108507214116,21.79008452369543,Unintentional
User_15,2025-01-02 22:00:34,0.369,0.0438,Running,Zep,Speeding,2way,0,20,3G,-118,38,-11,0.031,40.279989257538304,21.75186127899905,Unintentional
User_59,2025-01-02 22:11:12,0.521,0.1233,Walking,Ligeris,Driving_Under_Influence,2way,0,40,4G,-79,77,23,0.0043235840301434,40.30473762933745,21.80812675194537,Unintentional
User_40,2025-01-03 04:18:09,0.357,0.0931,Driving,Zep,Speeding,2way,1,40,3G,-82,80,-10,0.022,40.28057789464063,21.75314405287172,Unintentional
User_92,2025-01-03 04:58:53,0.622,0.0144,Running,Zep,Speeding,2way,1,30,5G,-95,66,-21,0.0072636539502458,40.27943662502311,21.752076024717045,Unintentional
User_97,2025-01-03 21:16:14,0.737,0.2186,Driving,Koila,Driving_Under_Influence,2way,4,40,5G,-91,40,-10,0.043,40.32251780118973,21.79062405023103,Unintentional
User_57,2025-01-04 03:44:35,0.592,0.2598,Running,Ligeris,Speeding,4way,3,70,3G,-93,35,-18,0.005970846442518,40.30751204151058,21.806119085053997,Unintentional
User_38,2025-01-04 06:01:58,0.497,0.2776,Running,Koila,Driving_Under_Influence,1way,0,70,4G,-103,23,-8,0.026,40.32312016344498,21.79097601699213,Unintentional
User_72,2025-01-04 09:20:45,0.359,0.3238,Driving,Zep,Reckless_Driving,2way,0,30,5G,-77,34,-24,0.0014277789803574,40.27938646009891,21.75416634066328,Unintentional
User_26,2025-01-04 09:41:00,0.495,0.2553,Walking,Ligeris,Driving_Under_Influence,2way,1,20,3G,-90,91,-24,0.002684518827505,40.30684290857462,21.808478410285247,Unintentional
User_21,2025-01-04 14:27:45,0.256,0.2196,Driving,Zep,Speeding,2way,0,30,WiFi,-62,61,17,0.0076778072359122,40.27935981444761,21.75155358787585,Unintentional
User_69,2025-01-04 14:49:26,0.667,0.1131,Running,Ligeris,Reckless_Driving,1way,0,60,WiFi,-53,0,21,0.0064618140967753,40.3063584321025,21.80802907045112,Unintentional
User_62,2025-01-04 16:53:20,0.471,0.116,Walking,Ligeris,Speeding,1way,0,90,3G,-100,79,-3,0.025,40.30657086188302,21.807964990758013,Unintentional
User_11,2025-01-05 00:31:57,0.263,0.3608,Driving,Ligeris,Driving_Under_Influence,2way,3,20,WiFi,-53,45,-18,0.0088534585794547,40.305353654260095,21.807898375293664,Unintentional
User_02,2025-01-05 02:29:59,0.477,0.2044,Driving,Zep,Reckless_Driving,4way,1,40,WiFi,-86,38,-13,0.028,40.2802844679629,21.755372453464307,Unintentional
User_65,2025-01-05 10:27:27,0.654,0.2662,Running,Ligeris,Reckless_Driving,1way,0,70,WiFi,-51,38,15,0.029,40.306861219749926,21.806170180871387,Unintentional
User_100,2025-01-05 12:13:41,0.718,0.349,Running,Ligeris,Driving_Under_Influence,4way,2,90,3G,-71,23,-18,0.001583293276916,40.30579594444788,21.807923675462153,Unintentional
User_74,2025-01-05 15:56:03,0.564,0.179,Driving,Zep,Speeding,2way,0,20,3G,-71,54,5,0.048,40.28019144345857,21.75456987931946,Unintentional
User_40,2025-01-05 18:25:54,0.357,0.0971,Walking,Zep,Driving_Under_Influence,2way,5,40,3G,-112,70,-23,0.0034182512755248,40.279506171757745,21.752144935152906,Unintentional
User_94,2025-01-05 22:27:44,0.459,0.014,Running,Ligeris,Speeding,2way,1,80,4G,-79,39,-25,0.0083632718859947,40.306294236386705,21.807509040014683,Unintentional
User_90,2025-01-05 23:47:26,0.395,0.1208,Driving,Koila,Reckless_Driving,1way,0,20,5G,-81,14,4,0.033,40.32161439949326,21.791627756663623,Unintentional
User_04,2025-01-06 00:24:56,0.619,0.3365,Driving,Koila,Reckless_Driving,1way,1,80,3G,-92,28,9,0.049,40.323843163217035,21.790818113067687,Unintentional
User_88,2025-01-06 07:07:46,0.421,0.3512,Walking,Koila,Speeding,4way,0,20,3G,-99,16,-11,0.042,40.322250567926886,21.79046675094915,Unintentional
User_54,2025-01-06 07:16:17,0.482,0.3879,Walking,Koila,Speeding,1way,4,20,5G,-91,30,25,0.0023092853449505,40.32228146812184,21.79251742446232,Unintentional
User_06,2025-01-06 11:02:52,0.573,0.2397,Walking,Zep,Driving_Under_Influence,2way,0,20,4G,-116,1,-25,0.0039499509006882,40.27920773789385,21.75542690485935,Unintentional
