User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Road_Accident,Road_Type,Speed_Limit,Violation_Type,Battery_Percentage,Internet_Connection,Internet_Signal_Strength,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,True_Class
User_52,2025-01-01 01:22:19,0.721,0.3751,Driving,Zep,0.0,1way,60.0,Illegal_Parking,88.0,5G,-82.0,16.0,0.0076414745655144,40.28055802662965,21.75435742175888,Intentional
User_33,2025-01-01 02:03:33,0.28,0.0113,Running,Center,1.0,2way,10.0,Speeding,33.0,4G,-78.0,7.0,0.0023739204824188,40.28006837484753,21.752886485379832,Intentional
User_62,2025-01-01 02:39:45,0.608,0.2102,Running,Ligeris,1.0,6way,80.0,Speeding,74.0,3G,-93.0,16.0,0.0086333777862432,40.30724218119983,21.807471429806903,Intentional
User_18,2025-01-01 03:39:05,0.386,0.0063,Walking,Koila,9.0,2way,60.0,Driving_Under_Influence,40.0,3G,-78.0,-13.0,0.0098996655203791,40.32191684774142,21.791200776385832,Intentional
User_72,2025-01-01 04:19:25,0.422,0.2009,Running,Ligeris,0.0,2way,20.0,Illegal_Parking,95.0,5G,-117.0,0.0,0.0079397402043283,40.306236905873845,21.80836425733469,Intentional
User_11,2025-01-01 04:45:02,0.659,0.1293,Running,Zep,2.0,6way,10.0,Driving_Under_Influence,62.0,5G,-102.0,-3.0,0.0089746039894707,40.28001222438123,21.75202596192397,Intentional
User_48,2025-01-01 04:46:22,0.493,0.1346,Driving,Zep,0.0,2way,30.0,Lane_Discards,18.0,4G,-75.0,15.0,0.0086488808780249,40.27994792152224,21.753356967703635,Intentional
User_27,2025-01-01 04:59:02,0.705,0.1411,Walking,Center,0.0,2way,50.0,Speeding,40.0,5G,-137.0,-14.0,0.0050712631559211,40.32138536940253,21.79171672904513,Intentional
User_08,2025-01-01 05:05:36,0.255,0.0644,Driving,Zep,1.0,6way,40.0,Reckless_Driving,31.0,3G,-113.0,2.0,0.0084196291037888,40.278141129704544,21.75353885577316,Intentional
User_78,2025-01-01 06:20:49,0.553,0.0074,Running,Ligeris,0.0,5way,40.0,Reckless_Driving,23.0,5G,-74.0,10.0,0.0057326250629641,40.30570513807472,21.80773416150846,Intentional
User_34,2025-01-01 06:35:27,0.399,0.0392,Running,Spinari,3.0,2way,50.0,Reckless_Driving,69.0,5G,-70.0,7.0,0.0044980474314361,40.27926149498728,21.75306084423059,Intentional
User_100,2025-01-01 07:40:07,0.429,0.0722,Driving,Koila,8.0,1way,50.0,Driving_Under_Influence,69.0,5G,-105.0,7.0,0.0027163249311205,40.32197920068341,21.79132690663056,Intentional
User_96,2025-01-01 07:55:41,0.347,0.2406,Swimming,Ligeris,1.0,2way,30.0,Reckless_Driving,47.0,4G,-88.0,11.0,0.0018738957741543,40.30612788102989,21.80765098994874,Intentional
User_56,2025-01-01 10:43:40,0.42,0.0639,Driving,Ligeris,5.0,6way,20.0,Reckless_Driving,7.0,4G,-88.0,-2.0,0.0072133615954347,40.30576964701113,21.806702440753448,Intentional
User_58,2025-01-01 12:09:10,0.629,0.1213,Walking,Ligeris,0.0,2way,160.0,Speeding,59.0,WiFi,-77.0,11.0,0.0014809611314041,40.30593765261008,21.80764945859571,Intentional
User_09,2025-01-01 12:11:20,0.314,0.3204,Driving,Koila,9.0,1way,50.0,Reckless_Driving,56.0,WiFi,-75.0,0.0,0.007730030590919,40.32136149420077,21.791278245294947,Intentional
User_69,2025-01-01 14:59:46,0.692,0.2707,Driving,Zep,9.0,1way,30.0,Reckless_Driving,84.0,3G,-119.0,9.0,0.028,40.278656942798925,21.753326137937467,Intentional
User_80,2025-01-01 15:20:54,0.283,0.357,Running,Ligeris,0.0,4way,30.0,Lane_Discards,53.0,4G,-104.0,-2.0,0.0085204656144385,40.30456029860492,21.806783030421297,Intentional
User_36,2025-01-01 15:26:44,0.677,0.0573,Swimming,Zep,3.0,1way,50.0,Reckless_Driving,30.0,5G,-77.0,10.0,0.0045130205262951,40.27889276550598,21.751744058843112,Intentional
User_01,2025-01-01 16:26:45,0.522,0.1203,Swimming,Koila,1.0,2way,80.0,Reckless_Driving,10.0,5G,-79.0,-12.0,0.0050390951554472,40.32286691826161,21.79106191038091,Intentional
User_26,2025-01-01 17:15:13,0.552,0.2667,Running,Ligeris,6.0,2way,30.0,Reckless_Driving,43.0,5G,-77.0,-15.0,0.0053584939285558,40.306236905873845,21.806766327121814,Intentional
User_07,2025-01-01 17:52:04,0.491,0.1453,Walking,Ligeris,0.0,2way,140.0,Driving_Under_Influence,1.0,4G,-108.0,4.0,0.0085134373597194,40.306667159905466,21.809042194619156,Intentional
User_32,2025-01-01 18:01:53,0.436,0.0464,Driving,Center,1.0,2way,30.0,Driving_Under_Influence,64.0,4G,-79.0,3.0,0.0052681187174767,40.305962646937175,21.791278245294947,Intentional
User_37,2025-01-01 18:19:39,0.726,0.3418,Running,Koila,6.0,4way,20.0,Driving_Under_Influence,46.0,5G,-92.0,-16.0,0.0094930396946281,40.32325414804296,21.789646985697587,Intentional
User_64,2025-01-01 19:33:37,0.724,0.2144,Walking,Ligeris,1.0,1way,160.0,Speeding,39.0,WiFi,-53.0,-16.0,0.0080513222036966,40.30710344534499,21.808031643211127,Intentional
User_22,2025-01-01 21:31:48,0.747,0.5687,Flying,Ligeris,0.0,2way,50.0,Reckless_Driving,39.0,3G,-106.0,0.0,0.0092748869125604,38.627192,21.80738985420391,Intentional
