User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Road_Accident,Road_Type,Speed_Limit,Violation_Type,Battery_Percentage,Internet_Connection,Internet_Signal_Strength,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,True_Class
User_74,2025-01-01 13:37:42,0.448,0.2457,Running,Ligeris,1.0,2way,20.0,Reckless_Driving,5.0,3G,-89.0,6.0,0.0039680118481981,40.306236905873845,21.791278245294947,Normal
User_26,2025-01-03 05:46:19,0.552,0.2717,Driving,Zep,2.0,4way,80.0,Driving_Under_Influence,87.0,3G,-116.0,9.0,0.0068877391862375,40.27995952389614,21.753840109352712,Normal
User_74,2025-01-03 09:51:39,0.448,0.2497,Walking,Zep,6.0,4way,50.0,Speeding,53.0,3G,-88.0,9.0,0.0059493644292906,40.28020746858754,21.75401610318745,Intentional
User_25,2025-01-04 21:07:20,0.491,0.2261,Driving,Zep,1.0,2way,20.0,Speeding,101.0,3G,-88.0,-15.0,0.0028121978135864,40.27966649979107,21.75341410524853,Unintentional
User_93,2025-01-05 03:08:13,0.583,0.3026,Swimming,Zep,1.0,1way,30.0,Driving_Under_Influence,33.0,3G,-92.0,15.0,0.0021970166112606,40.27948133757637,21.791278245294947,Intentional
User_02,2025-01-05 04:06:16,0.582,0.0343,Driving,Koila,1.0,2way,40.0,Speeding,56.0,3G,-88.0,-4.0,0.0018940245565358,40.32178504992165,18.591867,Normal
User_78,2025-01-07 03:35:32,0.553,0.0184,Driving,Zep,2.0,1way,10.0,Reckless_Driving,94.0,WiFi,-66.0,0.0,0.0028926688179924,40.28079725684128,21.7528952324508,Normal
User_06,2025-01-07 08:45:03,0.267,0.2867,Walking,Zep,0.0,2way,30.0,Driving_Under_Influence,40.0,WiFi,-86.0,0.0,0.0047828959162413,40.27868957180965,21.75180832595917,Normal
User_15,2025-01-08 21:33:11,0.256,0.3571,Running,Koila,0.0,5way,40.0,Driving_Under_Influence,39.0,4G,-110.0,-4.0,0.0055172650494709,42.099013,21.79102776596078,Intentional
User_14,2025-01-09 18:40:19,0.278,0.3046,Walking,Zep,2.0,4way,10.0,Reckless_Driving,75.0,5G,-107.0,-15.0,0.0099747085277746,40.27964306643783,21.75378323459636,Normal
User_38,2025-01-10 01:13:46,0.422,0.3487,Walking,Koila,0.0,4way,50.0,Speeding,53.0,WiFi,-56.0,9.0,0.0012359635575167,40.322243228906586,21.791135080818872,Normal
User_70,2025-01-12 11:29:36,0.694,0.161,Driving,Zep,2.0,2way,40.0,Driving_Under_Influence,52.0,Satellite,-120.0,3.0,0.0068153903722586,40.27954123886969,21.753149704785542,Normal
User_51,2025-01-12 12:04:14,0.433,0.2966,Driving,Koila,2.0,2way,20.0,Reckless_Driving,12.0,3G,-119.0,-22.0,0.0086791449954274,40.306236905873845,21.79126653904611,Unintentional
User_03,2025-01-13 23:00:24,0.294,0.0514,Running,Koila,0.0,1way,10.0,Speeding,97.0,3G,-76.0,4.0,0.00577095763083285,40.322329561921485,21.79204494879414,Normal
