User_Id,User_Reputation
1,0.581
2,0.477
3,0.47
4,0.619
5,0.307
6,0.573
7,0.47
8,0.33
9,0.444
10,0.35
11,0.263
12,0.74
13,0.738
14,0.533
15,0.369
16,0.455
17,0.439
18,0.669
19,0.361
20,0.625
21,0.256
22,0.656
23,0.532
24,0.354
25,0.352
26,0.495
27,0.33
28,0.311
29,0.603
30,0.478
31,0.293
32,0.684
33,0.554
34,0.466
35,0.301
36,0.58
37,0.696
38,0.497
39,0.297
40,0.357
41,0.642
42,0.544
43,0.407
44,0.546
45,0.693
46,0.537
47,0.345
48,0.636
49,0.462
50,0.395
51,0.574
52,0.706
53,0.703
54,0.482
55,0.3
56,0.449
57,0.592
58,0.744
59,0.521
60,0.669
61,0.304
62,0.471
63,0.549
64,0.287
65,0.654
66,0.551
67,0.692
68,0.402
69,0.667
70,0.314
71,0.259
72,0.359
73,0.343
74,0.564
75,0.65
76,0.251
77,0.369
78,0.615
79,0.326
80,0.447
81,0.307
82,0.291
83,0.498
84,0.488
85,0.653
86,0.343
87,0.64
88,0.421
89,0.606
90,0.395
91,0.716
92,0.622
93,0.333
94,0.459
95,0.36
96,0.308
97,0.737
98,0.734
99,0.622
100,0.718
