User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude
User_53,2025-01-01 00:10:23,0.313,0.0996,Driving,Koila,Speeding,6way,1.0,60,WiFi,-57,3.0,-6.0,0.044,40.32274052888873,21.791877904810818
User_19,2025-01-01 01:47:14,0.745,0.3815,Driving,Zep,Driving_Under_Influence,1way,0.0,80,116,-73,26.0,4.0,0.0024201013594303,40.2802910155425,21.752793340639393
User_37,2025-01-01 02:07:14,0.306,0.2764,Walking,Zep,Speeding,4way,0.0,10,3G,-84,81.0,-1.0,0.028,40.27965760760355,21.75328208315305
User_42,2025-01-01 02:38:03,0.738,0.1136,Walking,Zep,Driving_Under_Influence,1way,150.0,20,5G,-97,60.0,0.0,0.0023309693445239,40.280503754751955,21.755086348170597
User_72,2025-01-01 03:06:31,0.567,0.0415,Driving,Ligeris,Driving_Under_Influence,2way,4.0,50,4G,-115,3.0,8.0,0.0034152925272885,40.30707451698778,22.264804
User_65,2025-01-01 03:13:53,0.448,0.0761,Driving,Spinari,Reckless_Driving,2way,2.0,80,WiFi,-75,45.0,-14.0,0.0055715476089871,40.280029917117794,21.751558916805752
User_02,2025-01-01 03:59:05,0.529,0.3006,Driving,Zep,Driving_Under_Influence,4way,2.0,60,WiFi,-54,-47.0,-1.0,0.0082763575603349,40.27953084081947,21.753283758174874
User_54,2025-01-01 04:33:35,0.327,0.2749,Walking,Ligeris,Speeding,2way,150.0,40,4G,Satellite,54.0,-11.0,0.005100337261821,40.30741814234978,21.80738112147987
User_28,2025-01-01 04:34:24,0.348,0.3103,Running,Zep,Speeding,2way,4.0,60,WiFi,-82,58.0,-5.0,0.035,40.27983547513539,21.753891158926848
User_21,2025-01-01 05:59:04,0.303,0.0142,Walking,Zep,Reckless_Driving,4way,160.0,40,5G,Ethernet,40.0,-9.0,0.0069511592823616,40.27957387227149,21.753369861928583
User_57,2025-01-01 06:16:47,0.372,0.1122,Walking,Zep,Driving_Under_Influence,1way,1.0,Lane_Discards,5G,-95,20.0,-23.0,0.0027499311125422,40.279419595526115,21.753855159651664
User_100,2025-01-01 06:46:48,0.46,0.254,Swimming,Ligeris,Reckless_Driving,2way,0.0,30,119,-104,69.0,-4.0,0.0059945296513388,40.30599204584828,21.80847920464283
User_97,2025-01-01 07:32:49,0.337,0.2803,Running,Ligeris,Driving_Under_Influence,2way,0.0,30,105,-82,55.0,-6.0,0.0011130931088458,40.306085944064954,21.80735567618997
User_04,2025-01-01 07:36:53,0.662,0.0527,Driving,Zep,Driving_Under_Influence,1way,0.0,70,107,-85,83.0,-11.0,0.00917903732224,40.280190784015794,21.753448857539983
User_54,2025-01-01 08:36:17,0.327,0.2759,Walking,Koila,Driving_Under_Influence,2way,0.0,20,5G,-107,28.0,-4.0,0.0016839549715261,42.325443,21.79260262580414
User_94,2025-01-01 08:59:32,0.681,0.1,Driving,Ligeris,Driving_Under_Influence,2way,2.0,50,WiFi,-84,-39.0,-13.0,0.0049501334500823,40.30618723456172,21.791256784153244
User_29,2025-01-01 10:31:34,0.415,0.1654,Flying,Ligeris,Reckless_Driving,2way,1.0,30,5G,-79,68.0,4.0,0.042,40.306230115631266,21.80740948795033
User_09,2025-01-01 10:47:57,0.307,0.3858,Walking,Zep,Driving_Under_Influence,2way,1.0,30,4G,-98,5.0,2.0,0.0010624325360068,40.27932429315102,23.402081
User_86,2025-01-01 10:51:02,0.469,0.0031,Running,Koila,Reckless_Driving,1way,1.0,30,5G,-77,23.0,-11.0,0.0072877596503728,38.512333,21.79062396556212
User_73,2025-01-01 10:53:21,0.325,0.1907,Walking,Zep,Driving_Under_Influence,2way,4.0,Lane_Discards,3G,-98,22.0,-12.0,0.044,40.2799143532752,21.75428778638647
User_88,2025-01-01 11:19:39,0.471,0.1267,Swimming,Ligeris,Driving_Under_Influence,1way,0.0,50,WiFi,-59,70.0,5.0,0.005653142335994,40.30594584377501,21.807502499593724
User_08,2025-01-01 11:24:12,0.347,0.3598,Walking,Ligeris,Speeding,2way,3.0,50,4G,-111,-13.0,16.0,0.0051041089161624,40.30514875402563,21.80687939587237
User_09,2025-01-01 13:08:42,0.307,0.3868,Running,Ligeris,Reckless_Driving,2way,0.0,30,4G,-112,23.0,20.0,0.0045019324827605,40.30544296792949,21.805440402201462
User_03,2025-01-01 13:48:29,0.568,0.0304,Running,Spinari,Reckless_Driving,1way,0.0,20,WiFi,-79,94.0,6.0,0.0014375589913863,40.30528681516377,21.791256784153244
User_59,2025-01-01 15:10:13,0.265,0.1792,Running,Zep,Reckless_Driving,2way,0.0,Illegal_Parking,5G,-109,12.0,-1.0,0.0057142919627735,41.866207,21.75170387022607
