User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,Is_Intentional
User_74,2025-01-01 00:17:59,0.6,0.0085,Walking,Ligeris,Speeding,2way,1.0,50,3G,-78,90.0,10.0,0.0057271729697465,40.30599317867328,22.223309,1
User_01,2025-01-01 00:18:05,0.618,0.5725,Running,Koila,7,2way,2.0,30,3G,-107,97.0,4.0,0.0019208728502104,40.321528425954405,21.79014424281681,1
User_22,2025-06-28 09:55:17,0.712,0.3973,Running,Zep,Driving_Under_Influence,2way,1.0,40,109,-99,48.0,12.0,0.0053018552355666,40.30622692377462,21.753310717178476,1
User_26,2025-06-28 10:06:28,0.642,0.5132,Running,Ligeris,Driving_Under_Influence,1way,0.0,40,3G,Ethernet,66.0,11.0,0.024,40.307153009128406,21.808832363408445,1
User_30,2025-06-28 10:07:19,0.577,0.5725,Flying,Ligeris,Speeding,1way,0.0,90,3G,Ethernet,80.0,7.0,0.0062962610129416,38.859408,21.75400348776426,1
User_97,2025-06-28 10:23:34,0.296,0.7129,Running,Zep,7,4way,0.0,130,3G,-119,38.0,13.0,0.0073114360837141,40.27841812107379,21.75275517154016,1
User_82,2025-06-28 10:35:31,0.499,0.5725,Running,Spinari,Speeding,4way,0.0,20,WiFi,-68,31.0,11.0,0.033,40.27942131477669,21.75242565819585,1
User_49,2025-06-28 10:42:42,0.483,0.464,Swimming,Koila,Speeding,2way,0.0,40,5G,-73,48.0,4.0,0.0043275858836466,40.32382521852532,21.79138729473426,1
User_29,2025-06-28 10:50:12,0.309,0.5786,Driving,Zep,Driving_Under_Influence,2way,3.0,50,WiFi,-50,42.0,-16.0,0.0090145014836296,40.30622692377462,21.791258825989416,1
User_92,2025-06-28 10:58:56,0.611,0.5725,Walking,Ligeris,Speeding,2way,0.0,30,111,Ethernet,49.0,-16.0,0.0078738687849609,40.3070232709593,21.791258825989416,1
User_14,2025-06-28 10:58:59,0.549,0.3727,Running,Zep,Driving_Under_Influence,1way,140.0,80,WiFi,Ethernet,94.0,12.0,0.0057271729697465,40.27972305572624,19.507153,1
User_46,2025-06-28 12:26:53,0.621,0.5449,Flying,Ligeris,Speeding,1way,0.0,70,WiFi,-63,39.0,-2.0,0.006773977072797,40.30749212926469,21.80640078528384,1
User_19,2025-06-28 12:48:50,0.384,0.6963,Walking,Koila,Reckless_Driving,5way,2.0,30,5G,-117,64.0,5.0,0.0088919218896761,40.322045354339906,21.791264434158112,1
User_15,2025-06-28 13:29:00,0.585,0.3884,Driving,Spinari,Reckless_Driving,2way,2.0,20,4G,-74,36.0,14.0,0.0052203526563874,40.30622692377462,21.753221816339323,1
User_54,2025-06-28 13:31:17,0.508,0.5041,Driving,Ligeris,Reckless_Driving,1way,160.0,40,4G,-106,34.0,0.0,0.0061759962189878,40.305850789137594,21.80744156792661,1
User_48,2025-06-28 14:39:37,0.611,0.5763,Walking,Center,Reckless_Driving,1way,1.0,50,4G,-86,48.0,-3.0,0.047,40.306510932100466,21.791258825989416,1
User_83,2025-06-28 14:49:16,0.453,0.6475,Walking,Spinari,Speeding,2way,1.0,20,5G,-102,48.0,0.0,0.0086596131208984,40.32149937683286,21.789390386927668,1
User_81,2025-06-28 14:59:53,0.482,0.6044,Walking,Zep,Speeding,2way,1.0,30,5G,-89,24.0,-2.0,0.0070500030601978,40.27941267128121,23.514044,1
User_96,2025-06-28 15:30:55,0.722,0.3726,Running,Ligeris,Speeding,2way,0.0,Illegal_Parking,4G,-86,48.0,8.0,0.0052380892868592,41.708798,21.808106523015105,1
User_91,2025-06-28 16:29:46,0.409,0.5725,Running,Center,Driving_Under_Influence,1way,2.0,90,5G,-74,48.0,4.0,0.0035597610033863,40.32145844539056,21.79286555981318,1
User_68,2025-06-28 16:59:42,0.736,0.6725,Walking,Zep,Driving_Under_Influence,4way,140.0,20,5G,-97,73.0,3.0,0.0078425039703061,40.278123807058066,21.75457860069812,1
User_04,2025-06-28 17:00:26,0.295,0.4189,Walking,Zep,8,2way,2.0,30,WiFi,Ethernet,86.0,-2.0,0.0014071146926801,40.30622692377462,21.75307353089835,1
User_81,2025-06-28 17:10:39,0.482,0.5725,Walking,Ligeris,Speeding,2way,3.0,40,5G,-72,20.0,-6.0,0.0057271729697465,40.3062705001306,19.330573,1
User_58,2025-06-28 17:16:52,0.669,0.49,Driving,Zep,Driving_Under_Influence,2way,2.0,30,4G,Ethernet,8.0,0.0,0.021,40.27928230179342,21.75341464929552,1
User_100,2025-06-28 17:35:19,0.592,0.5561,Walking,Zep,Reckless_Driving,1way,1.0,40,4G,-117,48.0,4.0,0.0051946944130287,40.30622692377462,22.996334,1
User_94,2025-06-28 17:56:27,0.648,0.4198,Driving,Center,Driving_Under_Influence,1way,0.0,80,3G,-101,61.0,-5.0,0.0013552863323271,40.279775942197375,21.75514651774712,1
User_74,2025-06-28 18:03:59,0.6,0.3655,Driving,Spinari,Speeding,2way,1.0,20,4G,-109,43.0,-3.0,0.0068993343343479,41.235993,21.807603296830383,1
User_18,2025-06-28 18:09:38,0.508,0.4994,Running,Ligeris,Reckless_Driving,6way,1.0,60,3G,Satellite,48.0,9.0,0.0044282685653331,40.30785320408585,21.807667323921404,1
User_61,2025-06-28 18:36:39,0.261,0.4555,Driving,Ligeris,Reckless_Driving,2way,160.0,40,4G,-79,69.0,0.0,0.0011722182244433,40.28011865739219,21.7531039243422,1
User_13,2025-06-28 18:53:04,0.508,0.4899,Running,Ligeris,Driving_Under_Influence,1way,1.0,60,4G,-90,2.0,-25.0,0.0029590604087763,40.306317091848875,21.80915259556979,1
User_56,2025-06-28 18:53:51,0.508,0.5725,Walking,Zep,Reckless_Driving,2way,5.0,40,WiFi,-56,30.0,-14.0,0.0057271729697465,40.27913342543392,21.75273720663538,1
User_48,2025-06-28 19:01:03,0.611,0.5773,Running,Koila,Driving_Under_Influence,2way,1.0,40,WiFi,-60,29.0,0.0,0.0046675779254204,40.322348485200216,21.793411809231745,1
User_69,2025-06-28 19:44:44,0.289,0.5076,Running,Koila,Reckless_Driving,1way,0.0,90,WiFi,-60,53.0,0.0,0.004189157009738,40.32238802838815,21.791831084529285,1
User_80,2025-06-28 20:04:39,0.313,0.5705,Running,Center,Speeding,1way,1.0,80,3G,-116,95.0,-2.0,0.0057768962688565,40.305549866090296,21.808753914898887,1
