User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,Is_Intentional
User_17,2025-01-01 01:43:03,0.383,0.0252,Driving,Zep,Speeding,1way,1.0,70,5G,-97,28.0,-23.0,0.0047795898599108,40.280212905876986,21.753741212948174,0
User_82,2025-01-01 02:21:23,0.499,0.5725,Walking,Koila,Driving_Under_Influence,4way,0.0,20,WiFi,-64,-24.0,3.0,0.0023807020180998,40.32144504011696,21.791139352433504,0
User_43,2025-01-01 02:31:47,0.255,0.2743,Walking,Ligeris,Speeding,2way,0.0,80,3G,-92,54.0,-10.0,0.0041826811461109,40.30732054581177,22.164669,0
User_48,2025-01-01 02:33:00,0.611,0.2203,Walking,Ligeris,Speeding,2way,1.0,60,4G,-85,-131.0,-14.0,0.0027489303632995,40.30622692377462,21.80629981638893,0
User_83,2025-01-01 02:39:48,0.508,0.5725,Walking,Zep,Speeding,4way,1.0,50,WiFi,-56,32.0,12.0,0.001494689691992,42.411884,21.752855139859975,0
User_79,2025-01-01 02:42:55,0.426,0.0406,Walking,Koila,Driving_Under_Influence,2way,1.0,20,102,-82,48.0,-13.0,0.0083144078077891,40.32221615338656,21.791258825989416,0
User_27,2025-01-01 03:15:39,0.319,0.3136,Driving,Ligeris,Speeding,1way,150.0,50,4G,-113,1.0,0.0,0.0057271729697465,40.30497003463062,21.805888306999705,0
User_99,2025-01-01 03:47:09,0.618,0.2073,Driving,Koila,Driving_Under_Influence,5way,1.0,20,5G,-86,2.0,0.0,0.0084207965149171,40.30622692377462,21.79126760433868,0
User_62,2025-01-01 03:53:41,0.346,0.2523,Driving,Zep,Speeding,2way,1.0,10,3G,-84,15.0,-3.0,0.0091858471712983,42.810274,21.753858322763705,0
User_91,2025-01-01 05:23:59,0.409,0.0692,Swimming,Ligeris,Speeding,1way,1.0,40,WiFi,-76,57.0,-8.0,0.0037036649592156,40.30622692377462,21.808999370509696,0
User_54,2025-01-01 05:38:17,0.508,0.1471,Running,Koila,Reckless_Driving,1way,0.0,60,WiFi,-74,58.0,-7.0,0.0057271729697465,41.324345,21.792994810429537,0
User_63,2025-01-01 05:44:58,0.408,0.2204,Walking,Ligeris,Speeding,2way,0.0,30,WiFi,-51,59.0,-9.0,0.004909339618358,40.30622692377462,21.806999460004704,0
User_86,2025-01-01 05:46:26,0.63,0.2693,Walking,Koila,Speeding,2way,0.0,90,WiFi,-83,8.0,-18.0,0.0067163222284352,40.3216976445392,21.791884973139343,0
User_52,2025-01-01 05:48:21,0.399,0.3379,Driving,Koila,Speeding,1way,1.0,40,106,-84,30.0,11.0,0.0048165611410118,40.32088794570031,21.791258825989416,0
User_85,2025-01-01 05:51:18,0.572,0.3972,Walking,Zep,Speeding,4way,1.0,30,4G,-103,5.0,-16.0,0.0041925997915315,40.27931917652624,21.75435631194086,0
User_60,2025-01-01 05:52:43,0.602,0.3046,Running,Zep,Reckless_Driving,2way,0.0,60,5G,-72,34.0,-1.0,0.0057271729697465,40.30622692377462,23.421578,0
User_48,2025-01-01 06:38:27,0.611,0.5725,Walking,Ligeris,Reckless_Driving,4way,0.0,40,WiFi,Ethernet,65.0,0.0,0.004862883023756,41.158148,21.807134746177137,0
User_51,2025-01-01 06:39:30,0.708,0.3469,Driving,Koila,Speeding,2way,0.0,Harassing_Driver,4G,-88,68.0,10.0,0.049,40.32142729407584,21.791284549409124,0
User_75,2025-01-01 07:15:55,0.544,0.3424,Walking,Ligeris,8,2way,2.0,30,5G,Ethernet,48.0,12.0,0.0079969262327997,40.2790974418495,21.75469929577367,0
User_92,2025-01-01 07:22:56,0.611,0.3841,Running,Zep,Speeding,2way,1.0,10,WiFi,-63,42.0,0.0,0.0097945101270877,40.279472043462114,21.7528991137213,0
User_31,2025-01-01 07:46:56,0.72,0.2509,Running,Zep,Speeding,4way,0.0,80,105,-103,12.0,-14.0,0.0093818515646383,40.27972015389211,21.75275903057472,0
User_87,2025-01-01 07:48:20,0.508,0.1466,Running,Spinari,Speeding,2way,2.0,90,4G,-98,71.0,4.0,0.0030841461170004,40.30589727435644,21.80659906234434,0
User_67,2025-01-01 07:51:39,0.557,0.1826,Walking,Spinari,Driving_Under_Influence,2way,1.0,30,4G,-89,48.0,1.0,0.0028734862772298,37.136932,21.754391006798176,0
User_94,2025-01-01 08:22:00,0.648,0.0638,Driving,Zep,Speeding,1way,2.0,10,3G,-88,52.0,0.0,0.047,40.27937346183132,21.753308060820533,0
User_59,2025-01-01 08:49:36,0.696,0.5725,Walking,Center,Driving_Under_Influence,2way,1.0,70,3G,Ethernet,66.0,25.0,0.0018155168374983,40.279701847327686,21.75320967671885,0
User_36,2025-01-01 09:02:39,0.394,0.3369,Walking,Zep,Reckless_Driving,2way,150.0,10,4G,-80,5.0,12.0,0.0058457602553027,40.27933022771131,21.754517237210138,0
User_91,2025-01-01 09:28:04,0.409,0.5725,Running,Koila,Reckless_Driving,1way,140.0,50,3G,-92,81.0,0.0,0.0050211098695304,40.32185726801468,21.7898018932265,0
User_51,2025-01-01 10:05:29,0.708,0.3479,Running,Zep,Speeding,5way,0.0,20,WiFi,-68,81.0,9.0,0.0075611127836914,40.28079423711096,21.753735944493645,0
User_19,2025-01-01 10:59:20,0.384,0.3403,Running,Koila,Reckless_Driving,2way,0.0,Harassing_Driver,WiFi,-87,-144.0,13.0,0.0057271729697465,40.30622692377462,21.791409354603232,0
User_04,2025-01-01 11:04:02,0.295,0.0619,Swimming,Zep,Speeding,1way,0.0,40,4G,-90,45.0,3.0,0.0057271729697465,40.27980393319942,21.75357758513679,0
User_84,2025-01-01 12:09:30,0.689,0.1776,Walking,Ligeris,Driving_Under_Influence,2way,150.0,80,5G,-99,53.0,9.0,0.002819706955152,37.460942,21.806724797583012,0
User_65,2025-01-01 12:41:21,0.578,0.0933,Walking,Ligeris,Speeding,2way,0.0,90,5G,-93,70.0,14.0,0.0057271729697465,40.305978413853744,23.316922,0
User_07,2025-01-01 12:49:28,0.319,0.256,Running,Ligeris,7,1way,0.0,40,5G,-87,24.0,7.0,0.0048778984153848,40.32161549781194,21.78952309180261,0
User_25,2025-01-01 13:25:40,0.627,0.0593,Walking,Ligeris,Speeding,2way,0.0,70,3G,-89,48.0,8.0,0.0064978157973354,37.742449,21.806598095677753,0
User_05,2025-01-01 13:28:03,0.311,0.1548,Walking,Koila,Speeding,2way,1.0,90,3G,-104,82.0,-25.0,0.0098041023536009,40.32132744710561,21.792692669191652,0
User_71,2025-01-01 13:55:53,0.431,0.285,Driving,Ligeris,Driving_Under_Influence,1way,0.0,70,4G,Ethernet,-143.0,-16.0,0.0011405328793574,40.30698886780158,21.808515713254177,0
User_89,2025-01-01 14:51:09,0.508,0.3083,Walking,Center,Reckless_Driving,1way,0.0,90,WiFi,Satellite,34.0,5.0,0.0090954278362637,40.32140487075067,21.79180785945215,0
User_22,2025-01-01 15:22:07,0.712,0.0413,Driving,Ligeris,Speeding,1way,5.0,40,WiFi,-69,-133.0,13.0,0.0020145595844258,40.3058116328604,21.807756744128877,0
User_97,2025-01-01 15:30:44,0.296,0.3579,Driving,Zep,Speeding,2way,150.0,40,4G,-99,92.0,5.0,0.0082005129698154,40.27924586628976,21.75399646259068,0
User_04,2025-01-01 15:42:48,0.295,0.0629,Driving,Zep,Speeding,2way,1.0,10,WiFi,-86,-35.0,14.0,0.0053154102039866,40.27918473403059,21.791258825989416,0
User_75,2025-01-01 16:49:25,0.544,0.3434,Swimming,Zep,Speeding,2way,2.0,70,3G,-95,35.0,-10.0,0.0057271729697465,40.30622692377462,21.75332821404565,0
User_13,2025-01-01 16:58:53,0.657,0.1329,Walking,Koila,Driving_Under_Influence,2way,0.0,10,4G,Ethernet,21.0,-1.0,0.007761068582217,40.3213519337626,18.698137,0
User_81,2025-01-01 17:25:43,0.482,0.2484,Walking,Ligeris,Speeding,2way,1.0,40,4G,-114,48.0,20.0,0.0092683648866801,40.3050159423335,21.80875230879385,0
User_77,2025-01-01 17:45:19,0.347,0.1406,Driving,Ligeris,Reckless_Driving,4way,0.0,20,4G,-92,22.0,4.0,0.0022679692278201,42.458814,21.791146666491443,0
User_46,2025-01-01 18:06:43,0.508,0.5725,Swimming,Ligeris,Speeding,4way,0.0,30,3G,-96,19.0,0.0,0.0074775386535567,40.30701095034694,21.80770543386199,0
User_55,2025-01-01 18:06:53,0.508,0.0758,Running,Zep,Driving_Under_Influence,2way,2.0,20,5G,-109,61.0,0.0,0.0056994500017369,40.30622692377462,22.789773,0
User_90,2025-01-01 18:33:39,0.522,0.0664,Driving,Ligeris,Driving_Under_Influence,2way,3.0,20,5G,-109,4.0,-7.0,0.0049618542974903,41.792377,21.80768751753095,0
User_78,2025-01-01 18:43:07,0.64,0.1016,Walking,Ligeris,Speeding,2way,4.0,20,4G,-75,76.0,-7.0,0.0054595815056532,40.3223034979381,17.765527,0
