User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,True_Class
User_85,2025-01-01 01:34:05,0.653,0.2013,Driving,Koila,Driving_Under_Influence,6way,1,30,5G,-93,59,-8,0.0071349982626002,40.321480029418424,21.790221791176062,Intentional
User_49,2025-01-01 02:17:50,0.462,0.1707,Walking,Spinari,Reckless_Driving,2way,3,30,3G,-117,88,11,0.0062356648138748,40.30629955493339,21.806370238759396,Intentional
User_89,2025-01-01 14:31:50,0.606,0.3932,Driving,Koila,Speeding,5way,2,30,5G,-112,66,-8,0.0023750000030538,40.32181773426769,21.790621150963197,Intentional
User_58,2025-01-01 18:09:09,0.744,0.1942,Walking,Spinari,Driving_Under_Influence,2way,2,70,4G,-79,86,-4,0.0042543245332592,40.28029284450178,21.755356606852207,Intentional
User_49,2025-01-01 22:58:15,0.462,0.1717,Flying,Ligeris,Reckless_Driving,1way,1,30,WiFi,-75,19,14,0.0039638830944142,40.30683908280375,21.8093143362582,Intentional
User_32,2025-01-02 21:33:45,0.684,0.1033,Flying,Zep,Reckless_Driving,1way,0,30,3G,-88,37,-3,0.0022896937493228,40.27946294959558,21.75274623809048,Intentional
User_35,2025-01-02 22:31:29,0.301,0.0605,Walking,Center,Driving_Under_Influence,2way,0,90,3G,-90,30,-6,0.0092005547660448,40.306064704689334,21.807590601285536,Intentional
User_95,2025-01-03 00:59:12,0.36,0.2799,Flying,Koila,Reckless_Driving,2way,1,50,4G,-99,70,4,0.0060810198596337,40.32275472759226,21.790487499470025,Intentional
User_17,2025-01-03 03:31:26,0.439,0.3786,Running,Center,Speeding,1way,4,50,3G,-92,4,-14,0.008352104193995,40.3218273771374,21.793315348838597,Intentional
User_22,2025-01-03 05:33:07,0.656,0.1056,Swimming,Zep,Reckless_Driving,2way,0,90,5G,-76,49,-2,0.0078142119920649,40.28055624235938,21.754570957170703,Intentional
User_08,2025-01-03 06:44:31,0.33,0.3159,Driving,Spinari,Speeding,1way,1,90,5G,-94,12,14,0.0061556696896676,40.279190970633564,21.75402158118134,Intentional
User_92,2025-01-03 06:53:59,0.622,0.0154,Swimming,Zep,Reckless_Driving,2way,1,70,4G,-83,28,-2,0.0066260260110871,40.27846669568727,21.751565567830905,Intentional
User_69,2025-01-03 13:44:17,0.667,0.1101,Swimming,Koila,Reckless_Driving,2way,1,10,3G,-84,76,-5,0.003394219291716,40.322922950055336,21.79048824660804,Intentional
User_46,2025-01-03 14:10:49,0.537,0.2359,Flying,Ligeris,Reckless_Driving,2way,1,40,WiFi,-85,10,-4,0.0064004705087502,40.3064552100633,21.80711826223117,Intentional
