User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Road_Accident,Road_Type,Speed_Limit,Violation_Type,Battery_Percentage,Internet_Connection,Internet_Signal_Strength,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,True_Class
User_74,2025-01-01 01:29:29,0.448,0.2447,Running,Ligeris,3.0,2way,90.0,Reckless_Driving,51.0,WiFi,-67.0,-20.0,0.006894129807193,40.30626614433529,21.807665378499475,Unintentional
User_85,2025-01-01 02:12:33,0.377,0.2328,Walking,Ligeris,0.0,1way,30.0,Reckless_Driving,1.0,WiFi,-85.0,-23.0,0.0045268520921989,40.30591439921751,21.807449721931917,Unintentional
User_40,2025-01-01 02:41:56,0.491,0.0513,Driving,Koila,1.0,2way,50.0,Driving_Under_Influence,55.0,4G,-103.0,-8.0,0.04,40.32214877677813,21.79152670833508,Unintentional
User_98,2025-01-01 03:02:08,0.502,0.401,Walking,Koila,1.0,1way,20.0,Speeding,101.0,WiFi,-72.0,12.0,0.00577095763083285,40.32135002993083,21.791289045391704,Unintentional
User_63,2025-01-01 04:14:46,0.579,0.1101,Walking,Ligeris,2.0,2way,50.0,Speeding,115.0,3G,-110.0,0.0,0.0014439016581613,40.30646000261288,21.80779042502206,Unintentional
User_83,2025-01-01 04:18:03,0.693,0.3316,Walking,Ligeris,0.0,1way,50.0,Speeding,33.0,4G,-88.0,-3.0,0.026,40.30560398515838,21.806399412733533,Unintentional
User_82,2025-01-01 04:29:42,0.437,0.3,Driving,Koila,0.0,1way,30.0,Driving_Under_Influence,93.0,4G,-110.0,0.0,0.033,40.32341932406928,21.791941729828864,Unintentional
User_79,2025-01-01 04:49:26,0.305,0.274,Running,Koila,1.0,2way,40.0,Driving_Under_Influence,107.0,4G,-97.0,15.0,0.0020763841517883,40.322087906927614,21.790339447042317,Unintentional
User_72,2025-01-01 05:10:56,0.422,0.2019,Driving,Zep,0.0,2way,90.0,Driving_Under_Influence,115.0,WiFi,-90.0,2.0,0.0069698027811049,40.27896173112394,21.75355985304197,Unintentional
User_04,2025-01-01 06:24:18,0.383,0.3697,Driving,Zep,0.0,1way,80.0,Speeding,108.0,WiFi,-65.0,15.0,0.0083332491247909,40.28002037988696,21.754371963471545,Unintentional
User_67,2025-01-01 06:48:32,0.458,0.3132,Driving,Koila,1.0,1way,30.0,Driving_Under_Influence,5.0,WiFi,-79.0,19.0,0.0052248998115258,40.32319053733882,21.791135941308703,Unintentional
User_95,2025-01-01 08:21:16,0.491,0.4001,Walking,Ligeris,1.0,4way,70.0,Speeding,105.0,3G,-112.0,16.0,0.0099113590764321,40.30668715022834,21.791278245294947,Unintentional
User_17,2025-01-01 08:25:24,0.572,0.3275,Running,Zep,0.0,1way,90.0,Reckless_Driving,66.0,3G,-141.0,12.0,0.0092305723643262,40.27912453348673,21.751593908085415,Unintentional
User_42,2025-01-01 09:10:28,0.739,0.0616,Walking,Koila,0.0,1way,50.0,Reckless_Driving,19.0,5G,-117.0,-25.0,0.0091502450465935,40.32189445793076,21.79162086322332,Unintentional
User_75,2025-01-01 11:24:30,0.359,0.1908,Walking,Koila,1.0,1way,50.0,Speeding,90.0,3G,-74.0,-8.0,0.039,40.322426740653206,21.79223181271076,Unintentional
User_87,2025-01-01 11:42:07,0.548,0.1932,Walking,Zep,1.0,2way,90.0,Reckless_Driving,12.0,3G,-94.0,-10.0,0.046,40.2779420178877,21.752906236865524,Unintentional
User_10,2025-01-01 12:19:16,0.611,0.1141,Walking,Ligeris,5.0,1way,30.0,Reckless_Driving,101.0,4G,-118.0,11.0,0.003196735020585,40.30641316850422,21.791278245294947,Unintentional
User_32,2025-01-01 14:06:04,0.436,0.0454,Running,Koila,1.0,4way,80.0,Speeding,35.0,3G,-76.0,20.0,0.0066435747936534,40.323270848640085,21.79216300326344,Unintentional
User_90,2025-01-01 14:49:10,0.742,0.1456,Walking,Koila,0.0,1way,80.0,Reckless_Driving,55.0,5G,-112.0,-16.0,0.042,40.322471882165104,21.79251938609556,Unintentional
User_66,2025-01-01 15:33:22,0.474,0.3668,Driving,Koila,0.0,2way,50.0,Driving_Under_Influence,30.0,5G,-151.0,-7.0,0.009879063896505,40.32205067713832,21.791781905469943,Unintentional
User_29,2025-01-01 15:35:45,0.453,0.3808,Walking,Ligeris,0.0,2way,20.0,Driving_Under_Influence,98.0,4G,-146.0,-6.0,0.0038667265091265,40.306593196408514,21.8083029779624,Unintentional
User_67,2025-01-01 15:48:30,0.458,0.3142,Running,Ligeris,1.0,4way,30.0,Speeding,114.0,5G,-116.0,-13.0,0.00577095763083285,40.30614003446562,21.80742481299436,Unintentional
User_98,2025-01-01 16:14:41,0.502,0.402,Walking,Zep,0.0,2way,20.0,Driving_Under_Influence,25.0,3G,-77.0,-24.0,0.0019731546775482,40.27950607236001,21.75436875730174,Unintentional
User_57,2025-01-01 17:18:02,0.735,0.3493,Driving,Zep,0.0,4way,30.0,Driving_Under_Influence,103.0,4G,-71.0,0.0,0.0015433449812075,40.27942281556529,21.75266836669312,Unintentional
User_30,2025-01-01 17:24:46,0.529,0.3164,Driving,Ligeris,1.0,2way,10.0,Speeding,102.0,4G,-111.0,-12.0,0.0030448707754964,40.305432091669104,21.8087761811678,Unintentional
User_79,2025-01-01 17:44:58,0.305,0.275,Driving,Ligeris,0.0,1way,40.0,Reckless_Driving,3.0,5G,-98.0,23.0,0.0046600344974479,40.30627273190355,21.80811541589928,Unintentional
User_24,2025-01-01 17:46:52,0.558,0.0417,Driving,Ligeris,1.0,2way,90.0,Reckless_Driving,91.0,4G,-85.0,5.0,0.023,40.30718725884398,21.791278245294947,Unintentional
User_82,2025-01-01 18:34:12,0.437,0.301,Running,Zep,1.0,4way,20.0,Speeding,112.0,3G,-84.0,7.0,0.0039207284689145,40.27938593768071,21.751697348632582,Unintentional
User_04,2025-01-01 19:01:09,0.383,0.3707,Driving,Koila,1.0,1way,60.0,Reckless_Driving,0.0,4G,-125.0,-8.0,0.0091663674906104,40.32314499566737,21.79144649354161,Unintentional
User_68,2025-01-01 19:10:59,0.422,0.2373,Running,Zep,1.0,4way,30.0,Driving_Under_Influence,40.0,WiFi,-89.0,-24.0,0.003493181739137,40.28057056949245,21.753089811192627,Unintentional
User_93,2025-01-01 20:04:54,0.583,0.2946,Walking,Zep,2.0,2way,80.0,Reckless_Driving,104.0,4G,-86.0,-13.0,0.0034611775733068,40.279562278240526,21.753263949667904,Unintentional
User_93,2025-01-01 21:25:24,0.583,0.2956,Running,Ligeris,0.0,2way,30.0,Driving_Under_Influence,63.0,5G,-78.0,-6.0,0.035,40.30609723119687,21.808076383236425,Unintentional
User_69,2025-01-01 21:47:27,0.692,0.2717,Walking,Ligeris,2.0,4way,50.0,Speeding,112.0,4G,-85.0,-12.0,0.0026623536903267,40.306578937245405,21.808476502355852,Unintentional
User_21,2025-01-01 22:34:59,0.428,0.5687,Driving,Zep,1.0,2way,60.0,Reckless_Driving,11.0,WiFi,-79.0,-22.0,0.0066728526838577,40.27952987428694,21.75309571883244,Unintentional
User_43,2025-01-01 22:39:12,0.499,0.0685,Driving,Zep,0.0,4way,50.0,Reckless_Driving,44.0,3G,-82.0,6.0,0.041,40.27955843384263,21.75135822548356,Unintentional
User_55,2025-01-01 23:00:31,0.612,0.2353,Driving,Ligeris,3.0,2way,40.0,Reckless_Driving,18.0,4G,-160.0,6.0,0.0086263913041836,40.30608854902992,21.791278245294947,Unintentional
User_14,2025-01-01 23:19:43,0.278,0.2886,Driving,Zep,1.0,4way,60.0,Reckless_Driving,85.0,3G,-117.0,0.0,0.039,40.27951174685016,21.791278245294947,Unintentional
User_05,2025-01-02 02:13:13,0.281,0.0517,Driving,Zep,1.0,2way,60.0,Driving_Under_Influence,114.0,5G,-109.0,1.0,0.0030909554442965,40.28028056058962,21.75318683839276,Unintentional
User_68,2025-01-02 03:12:43,0.491,0.2383,Driving,Ligeris,0.0,2way,10.0,Driving_Under_Influence,89.0,WiFi,-86.0,-11.0,0.029,40.30597174879263,21.80596674712098,Unintentional
