User_Id,Predicted_Final_Reputation
User_01,0.49556074
User_02,0.49473828
User_03,0.4952458
User_04,0.49580425
User_05,0.49538743
User_06,0.49556074
User_07,0.49525183
User_08,0.49506187
User_09,0.495305
User_10,0.4955507
User_100,0.49545544
User_11,0.49524805
User_12,0.4956095
User_13,0.49562448
User_14,0.49464118
User_15,0.49530324
User_16,0.49507934
User_17,0.49521992
User_18,0.49588382
User_19,0.49538743
User_20,0.49635112
User_21,0.49513006
User_22,0.49466667
User_23,0.49496454
User_24,0.49538743
User_25,0.49466735
User_26,0.4952782
User_27,0.4950479
User_28,0.4952782
User_29,0.49535963
User_30,0.49545544
User_31,0.49545544
User_32,0.4948834
User_33,0.49561697
User_34,0.4950479
User_35,0.49464118
User_36,0.49532282
User_37,0.49541742
User_38,0.49518275
User_39,0.4955495
User_40,0.49428287
User_41,0.49545544
User_42,0.49538743
User_43,0.49476337
User_44,0.49551934
User_45,0.49457794
User_46,0.4952668
User_47,0.49476856
User_48,0.49464118
User_49,0.49529558
User_50,0.4947164
User_51,0.4952276
User_52,0.4955495
User_53,0.49537945
User_54,0.4955563
User_55,0.49588382
User_56,0.49542144
User_57,0.49538743
User_58,0.49491668
User_59,0.49507982
User_60,0.49542862
User_61,0.4950479
User_62,0.49457794
User_63,0.49655363
User_64,0.49545544
User_65,0.4953224
User_66,0.4947487
User_67,0.49577475
User_68,0.49528953
User_69,0.4950615
User_70,0.49467877
User_71,0.4954892
User_72,0.49545544
User_73,0.49520952
User_74,0.4952288
User_75,0.49498832
User_76,0.49527395
User_77,0.49501756
User_78,0.49538743
User_79,0.4948069
User_80,0.49549437
User_81,0.49466735
User_82,0.4953081
User_83,0.49514803
User_84,0.49535564
User_85,0.4952553
User_86,0.4953134
User_87,0.49509424
User_88,0.49538743
User_89,0.4957416
User_90,0.49477857
User_91,0.49555188
User_92,0.4949312
User_93,0.49532282
User_94,0.49531126
User_95,0.4955495
User_96,0.49529073
User_97,0.4957323
User_98,0.4951219
User_99,0.49499783
