User_Id,Predicted_Final_Reputation
User_01,0.49651808
User_02,0.4958708
User_03,0.49682748
User_04,0.49957192
User_05,0.49643326
User_06,0.4970106
User_07,0.49608636
User_08,0.49540466
User_09,0.49702817
User_10,0.49793538
User_100,0.49757248
User_11,0.4969957
User_12,0.4974269
User_13,0.49820125
User_14,0.49584824
User_15,0.49627563
User_16,0.49518538
User_17,0.49613547
User_18,0.49756154
User_19,0.49617228
User_20,0.49716887
User_21,0.49656993
User_22,0.49632138
User_23,0.4966418
User_24,0.496257
User_25,0.4962297
User_26,0.49625793
User_27,0.49572456
User_28,0.49660814
User_29,0.49775606
User_30,0.496173
User_31,0.49531972
User_32,0.4963653
User_33,0.49710736
User_34,0.49561948
User_35,0.49286085
User_36,0.49694347
User_37,0.49664426
User_38,0.49592817
User_39,0.4970003
User_40,0.4964187
User_41,0.4967111
User_42,0.4952181
User_43,0.49570906
User_44,0.4970959
User_45,0.4954756
User_46,0.49674278
User_47,0.4956457
User_48,0.4959594
User_49,0.49744678
User_50,0.49592277
User_51,0.49590296
User_52,0.49663222
User_53,0.49684998
User_54,0.49697888
User_55,0.4964671
User_56,0.4963975
User_57,0.49769735
User_58,0.4961785
User_59,0.4966269
User_60,0.49660835
User_61,0.49624914
User_62,0.49708742
User_63,0.49786964
User_64,0.49712253
User_65,0.4962169
User_66,0.49622238
User_67,0.4977894
User_68,0.49669164
User_69,0.49628294
User_70,0.4960684
User_71,0.4968564
User_72,0.49624324
User_73,0.49743176
User_74,0.49609172
User_75,0.49656463
User_76,0.49756974
User_77,0.49622786
User_78,0.49653697
User_79,0.4954156
User_80,0.4962954
User_81,0.49547714
User_82,0.49745038
User_83,0.4972574
User_84,0.49673423
User_85,0.4962998
User_86,0.49637014
User_87,0.49610412
User_88,0.4963057
User_89,0.49636576
User_90,0.49645936
User_91,0.49682215
User_92,0.49601907
User_93,0.49701133
User_94,0.49687582
User_95,0.4969771
User_96,0.4959963
User_97,0.4966694
User_98,0.49740273
User_99,0.4962789
