User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude
User_85,2025-01-01 01:34:05,0.653,0.2013,Driving,Koila,Driving_Under_Influence,6way,1,30,5G,-93,59,-8,0.0071349982626002,40.321480029418424,21.790221791176062
User_49,2025-01-01 02:17:50,0.462,0.1707,Walking,Spinari,Reckless_Driving,2way,3,30,3G,-117,88,11,0.0062356648138748,40.30629955493339,21.806370238759396
User_06,2025-01-01 05:57:15,0.573,0.2287,Running,Zep,Speeding,1way,160,90,5G,-71,77,7,0.0072879303604056,40.27956698086531,21.753245555776697
User_95,2025-01-01 07:00:05,0.36,0.2759,Driving,Ligeris,Driving_Under_Influence,2way,0,50,5G,-101,27,7,0.044,40.30550128697307,21.80673707396348
User_12,2025-01-01 09:38:26,0.74,0.2831,Driving,Koila,Driving_Under_Influence,1way,1,80,4G,-73,45,24,0.0056043025643368,40.32157976189006,21.78979431113612
User_63,2025-01-01 09:58:58,0.549,0.3693,Driving,Koila,Reckless_Driving,2way,0,10,3G,-91,50,2,0.007128581225599,40.32205485002958,23.746349
User_44,2025-01-01 10:00:56,0.546,0.2775,Running,Koila,Reckless_Driving,2way,0,20,4G,-104,24,0,0.0043394208685378,40.3233525987964,23.650516
User_84,2025-01-01 13:01:34,0.488,0.1914,Walking,Koila,Speeding,1way,4,60,3G,-103,-131,4,0.0073609673845341,40.32230762364931,21.791444120598005
User_89,2025-01-01 14:31:50,0.606,0.3932,Driving,Koila,Speeding,5way,2,30,5G,-112,66,-8,0.0023750000030538,40.32181773426769,21.790621150963197
User_58,2025-01-01 18:09:09,0.744,0.1942,Walking,Spinari,Driving_Under_Influence,2way,2,70,4G,-79,86,-4,0.0042543245332592,40.28029284450178,21.755356606852207
User_100,2025-01-01 20:04:23,0.718,0.341,Running,Zep,Speeding,2way,0,70,WiFi,-74,43,16,0.0080822332326698,37.423184,21.752711142917548
User_72,2025-01-01 21:59:30,0.359,0.3188,Driving,Ligeris,Speeding,4way,1,60,WiFi,-69,-123,-9,0.0092508705771474,40.30497940267015,21.807922548302347
User_49,2025-01-01 22:58:15,0.462,0.1717,Flying,Ligeris,Reckless_Driving,1way,1,30,WiFi,-75,19,14,0.0039638830944142,40.30683908280375,21.8093143362582
User_96,2025-01-01 23:27:42,0.308,0.1628,Running,Zep,Speeding,4way,140,60,3G,-80,52,16,0.0026348091846944,40.27853462637305,21.752156098428152
User_51,2025-01-02 00:25:13,0.574,0.1373,Driving,Ligeris,Driving_Under_Influence,1way,0,50,WiFi,-79,17,4,0.042,40.30584650556349,21.806906150995072
User_03,2025-01-02 03:34:58,0.47,0.3042,Walking,Ligeris,8,2way,1,30,5G,-74,0,-11,0.008624700530879,40.30681703298113,21.80625666437073
User_80,2025-01-02 04:13:08,0.447,0.3296,Walking,Koila,Reckless_Driving,1way,0,60,WiFi,-60,78,-13,0.0073331221880097,42.533459,21.79173634083349
User_98,2025-01-02 05:19:42,0.734,0.149,Driving,Zep,Driving_Under_Influence,1way,2,20,5G,-87,60,12,0.034,40.278665571073354,21.752825798557588
User_16,2025-01-02 09:23:45,0.455,0.2738,Running,Koila,Speeding,1way,0,40,3G,-80,26,-5,0.036,40.32041109288333,21.792056704592884
User_69,2025-01-02 10:37:53,0.667,0.1081,Running,Koila,Reckless_Driving,1way,1,60,108,-111,22,10,0.0070363044203544,40.3223103343614,21.791747546902652
User_52,2025-01-02 10:53:39,0.706,0.4024,Driving,Zep,Speeding,2way,0,10,3G,-107,16,-25,0.0094694927073337,40.280220682077136,21.752397792345185
