User_Id,Timestamp,User_Reputation,User_Experience,User_Activity,University_Area,Violation_Type,Road_Type,Road_Accident,Speed_Limit,Internet_Connection,Internet_Signal_Strength,Battery_Percentage,Accelerometer_Range,Accelerometer_Resolution,Latitude,Longitude,Is_Intentional
User_53,2025-01-01 00:10:23,0.313,0.0996,Driving,Koila,Speeding,6way,1.0,60,WiFi,-57,3.0,-6.0,0.044,40.32274052888873,21.791877904810818,1
User_44,2025-08-17 16:58:48,0.332,0.5406,Walking,Ligeris,Driving_Under_Influence,2way,1.0,30,111,-91,87.0,-5.0,0.0019987683456984,40.30637951821327,21.806809694598197,1
User_35,2025-08-17 17:03:02,0.274,0.5372,Walking,Zep,Driving_Under_Influence,4way,0.0,70,113,-91,9.0,-1.0,0.0068951871462168,40.27898279995532,21.751163095669387,1
User_29,2025-08-17 18:19:49,0.415,0.6214,Walking,Zep,Reckless_Driving,2way,160.0,70,WiFi,-82,15.0,12.0,0.0099088229267504,40.280326857718606,21.752620494600414,1
User_22,2025-08-17 18:29:24,0.413,0.5039,Driving,Zep,8,4way,0.0,20,WiFi,-85,50.0,5.0,0.0062561548765342,40.279551415117,21.75328029965344,1
User_07,2025-08-17 18:57:06,0.625,0.5374,Running,Koila,Driving_Under_Influence,1way,4.0,80,WiFi,-62,-33.0,-13.0,0.0098752615993729,40.32221986088901,21.79221592013399,1
User_04,2025-08-17 19:07:27,0.662,0.5097,Driving,Ligeris,Speeding,2way,0.0,Illegal_Parking,4G,-111,6.0,-7.0,0.0043079371239211,37.74627,21.807859257458254,1
User_81,2025-08-17 19:12:40,0.376,0.7405,Walking,Ligeris,Driving_Under_Influence,2way,150.0,50,WiFi,-52,38.0,15.0,0.0087863567188753,40.306862554369026,21.80816245805242,1
User_33,2025-08-17 19:14:41,0.634,0.6702,Driving,Koila,Driving_Under_Influence,6way,0.0,40,5G,-96,51.0,-15.0,0.0030567982956886,42.090153,21.78942896170206,1
User_30,2025-08-17 19:17:41,0.413,0.5474,Driving,Koila,Reckless_Driving,2way,0.0,Illegal_Parking,WiFi,Satellite,41.0,-8.0,0.0050868648390301,40.321909193039374,21.79136423960156,1
User_82,2025-08-17 20:11:19,0.324,0.6699,Walking,Zep,Driving_Under_Influence,2way,140.0,50,WiFi,-86,94.0,12.0,0.0061144045816293,40.27947629285757,22.327885,1
User_21,2025-08-17 20:20:29,0.303,0.4702,Walking,Center,Reckless_Driving,1way,2.0,70,4G,-99,43.0,4.0,0.0044302774035502,40.27888304830558,21.752559817913188,1
User_94,2025-08-18 00:04:21,0.681,0.558,Walking,Zep,Driving_Under_Influence,6way,0.0,60,5G,-115,83.0,-10.0,0.0091449638406844,37.759278,21.75469807171033,1
User_68,2025-08-18 00:46:16,0.472,0.4909,Flying,Ligeris,Driving_Under_Influence,1way,0.0,10,WiFi,-82,83.0,-15.0,0.0052102902082442,40.30531150979583,21.80891792011819,1
User_77,2025-08-18 01:46:19,0.428,0.4755,Driving,Koila,9,4way,1.0,90,5G,-86,97.0,8.0,0.026,40.3237515060079,21.791337132173467,1
User_77,2025-08-18 01:54:59,0.428,0.4765,Walking,Zep,Speeding,4way,0.0,70,5G,-95,74.0,5.0,0.0039051757875816,37.565303,21.752730854694324,1
User_69,2025-08-18 02:15:08,0.34,0.8181,Walking,Zep,Speeding,2way,1.0,30,5G,-77,82.0,2.0,0.0089627108298287,42.036746,21.75198823110153,1
User_36,2025-08-18 03:10:48,0.563,0.5641,Flying,Ligeris,Speeding,2way,0.0,60,5G,-100,19.0,-13.0,0.0067477851219804,40.306340957178655,21.80765896797872,1
User_57,2025-08-18 03:25:43,0.372,0.5702,Running,Ligeris,Driving_Under_Influence,1way,1.0,10,5G,-80,88.0,-2.0,0.0029876649327826,37.212078,21.791256784153244,1
User_71,2025-08-18 03:28:18,0.256,0.4613,Flying,Ligeris,Reckless_Driving,4way,4.0,20,WiFi,-77,92.0,-15.0,0.009649986788461,40.30495395237914,21.808666557654423,1
User_22,2025-08-18 04:23:46,0.413,0.5049,Running,Ligeris,Driving_Under_Influence,1way,1.0,40,113,-94,28.0,-5.0,0.0018553064082857,40.30706971823694,21.807468534598097,1
User_04,2025-08-18 04:24:02,0.662,0.5107,Driving,Zep,7,2way,1.0,30,3G,-94,65.0,-8.0,0.0012220564846708,42.237883,21.75272243459023,1
User_41,2025-08-18 05:49:09,0.628,0.6201,Driving,Spinari,Speeding,2way,2.0,70,5G,-103,18.0,-2.0,0.0066445028677155,40.32164279965699,21.79263335865161,1
User_65,2025-08-18 05:54:18,0.448,0.5341,Walking,Zep,Driving_Under_Influence,2way,3.0,60,110,-89,19.0,13.0,0.0098314068912904,40.2798037375079,21.75361246008975,1
User_72,2025-08-18 06:49:40,0.567,0.5005,Walking,Ligeris,Reckless_Driving,4way,0.0,60,3G,-114,1.0,-7.0,0.0027378719480118,40.30562135440911,23.922826,1
User_50,2025-08-18 06:51:45,0.398,0.6906,Running,Ligeris,Reckless_Driving,2way,1.0,120,3G,-84,-133.0,10.0,0.0073378493133357,40.30540776937996,21.807146746987996,1
User_88,2025-08-18 07:28:10,0.471,0.5847,Walking,Center,Speeding,4way,0.0,40,103,-99,56.0,10.0,0.0046571715971854,40.27993770141312,21.754013518147097,1
User_91,2025-08-18 07:44:00,0.587,0.7628,Running,Koila,Reckless_Driving,1way,0.0,60,WiFi,-60,18.0,5.0,0.0049699979001327,40.323219386642414,23.93796,1
User_08,2025-08-18 07:47:01,0.347,0.8168,Walking,Koila,Driving_Under_Influence,2way,1.0,80,WiFi,-54,-17.0,-7.0,0.0078089816759606,40.322364108036616,21.79177501334768,1
User_82,2025-08-18 07:54:14,0.324,0.6709,Walking,Koila,8,1way,0.0,60,WiFi,-56,87.0,2.0,0.002886261051471,40.32163973748318,21.792087221548005,1
User_66,2025-08-18 08:12:33,0.28,0.6877,Running,Koila,8,2way,3.0,10,4G,-79,12.0,12.0,0.0034427052081111,40.32347793438215,21.79074487647268,1
User_31,2025-08-18 08:57:26,0.46,0.8124,Walking,Spinari,Driving_Under_Influence,1way,1.0,80,3G,-118,48.0,-23.0,0.0056516972633423,40.30518030646619,21.807439949615123,1
User_74,2025-08-18 10:59:23,0.497,0.8154,Swimming,Koila,Speeding,2way,0.0,10,5G,-106,1.0,-4.0,0.0068966894525484,40.32034084715697,21.791031673978395,1
User_65,2025-08-18 11:59:12,0.448,0.5351,Driving,Ligeris,8,4way,1.0,70,WiFi,-71,33.0,19.0,0.0014340683891093,40.305949343443416,21.80663866352161,1
User_17,2025-08-18 13:04:57,0.631,0.5998,Walking,Zep,Speeding,2way,1.0,40,4G,-86,-44.0,-14.0,0.0082207279566964,40.28023292139726,21.752169075529473,1
