User_Id,User_Reputation
1,0.618
2,0.504
3,0.381
4,0.295
5,0.311
6,0.614
7,0.319
8,0.325
9,0.377
10,0.719
11,0.539
12,0.251
13,0.657
14,0.549
15,0.585
16,0.438
17,0.383
18,0.271
19,0.384
20,0.686
21,0.64
22,0.712
23,0.669
24,0.7
25,0.627
26,0.642
27,0.319
28,0.561
29,0.309
30,0.577
31,0.72
32,0.694
33,0.486
34,0.401
35,0.379
36,0.394
37,0.528
38,0.448
39,0.685
40,0.498
41,0.251
42,0.577
43,0.255
44,0.332
45,0.446
46,0.621
47,0.636
48,0.611
49,0.483
50,0.477
51,0.708
52,0.399
53,0.364
54,0.508
55,0.489
56,0.419
57,0.733
58,0.669
59,0.696
60,0.602
61,0.261
62,0.346
63,0.408
64,0.257
65,0.578
66,0.325
67,0.557
68,0.736
69,0.289
70,0.359
71,0.431
72,0.697
73,0.676
74,0.6
75,0.544
76,0.349
77,0.347
78,0.64
79,0.426
80,0.313
81,0.482
82,0.499
83,0.453
84,0.689
85,0.572
86,0.63
87,0.374
88,0.676
89,0.485
90,0.522
91,0.409
92,0.611
93,0.418
94,0.648
95,0.739
96,0.722
97,0.296
98,0.553
99,0.618
100,0.592
