method,column,outliers_removed,outlier_indices,chunk_id
HBOS,Road_Accident,238,"[5633, 3075, 2563, 3589, 2567, 3595, 3086, 4111, 1040, 5139, 7187, 5141, 534, 24, 4634, 4125, 1566, 541, 6690, 3107, 1534, 2600, 6184, 5676, 4659, 6199, 7224, 4668, 3136, 4673, 2114, 2627, 5699, 7235, 1096, 6728, 5706, 6731, 5196, 77, 589, 80, 4689, 1106, 596, 2645, 3671, 600, 5720, 606, 4702, 1632, 3581, 6756, 613, 3686, 105, 5742, 5233, 6772, 3189, 4727, 5752, 2682, 7291, 6782, 5760, 5250, 4227, 132, 3717, 3719, 5769, 3214, 5262, 3728, 4243, 2196, 2197, 4760, 4249, 1693, 3741, 6814, 6304, 2727, 2217, 3242, 6826, 687, 3249, 3252, 2231, 3257, 6330, 5820, 1214, 4799, 3776, 707, 5315, 6339, 1736, 2249, 6345, 1227, 2252, 717, 3790, 4814, 3280, 4816, 6351, 213, 5845, 6874, 4829, 1248, 3298, 5347, 3813, 230, 5350, 4328, 4331, 6891, 2289, 6390, 247, 1278, 4862, 5374, 3843, 262, 4359, 1291, 2829, 4877, 3349, 6934, 798, 3364, 3878, 1320, 1838, 2862, 2354, 821, 3894, 4405, 4408, 2361, 5944, 5946, 6454, 3902, 1344, 6469, 4422, 2889, 842, 3913, 4430, 336, 848, 4946, 5969, 6485, 4951, 2393, 2907, 1886, 5470, 1377, 7009, 360, 2923, 2924, 7022, 3444, 1909, 3445, 2426, 1916, 1918, 2944, 3970, 5508, 5510, 1416, 2953, 7055, 407, 922, 2466, 1958, 1962, 4014, 943, 5552, 945, 5553, 6580, 2489, 442, 4029, 6077, 4546, 3011, 1988, 7112, 6092, 6605, 465, 5075, 984, 5083, 2013, 4573, 4575, 6622, 993, 5089, 5603, 4070, 4586, 2542, 1007, 1009, 6130, 7155, 3060, 5620, 2551, 4091, 6141, 1022, 5631]",1
kNN,Road_Accident,0,[],1
IForest,Road_Accident,557,"[0, 6146, 6153, 6157, 4111, 24, 26, 4125, 6179, 2086, 6184, 4143, 4144, 2097, 2101, 6199, 56, 6200, 2107, 4157, 2111, 6209, 2114, 6214, 4167, 6216, 77, 80, 4181, 4183, 88, 2136, 95, 105, 4201, 4205, 4212, 6265, 121, 4223, 2175, 129, 4227, 132, 4231, 136, 139, 2187, 2188, 4243, 148, 2196, 2197, 6293, 6295, 4249, 6304, 168, 2217, 2231, 4282, 6330, 4287, 6339, 2248, 2249, 6345, 2252, 6351, 213, 4311, 2265, 6363, 4318, 225, 230, 4328, 233, 4331, 2289, 6390, 247, 6397, 262, 4359, 2312, 2313, 4363, 6424, 4377, 285, 4381, 2338, 2354, 309, 4405, 6454, 4408, 2361, 2365, 4413, 4421, 4422, 6469, 4430, 336, 6485, 2393, 2397, 6494, 2400, 357, 360, 2408, 2411, 375, 377, 2426, 2427, 6521, 6525, 2439, 407, 412, 6557, 2466, 4514, 2470, 436, 6580, 439, 6583, 2489, 442, 448, 4546, 6594, 4552, 457, 6605, 6608, 465, 473, 4573, 6622, 4575, 6626, 484, 2534, 4586, 492, 2542, 4591, 2547, 2551, 4600, 6651, 4604, 512, 514, 2563, 6662, 2567, 2570, 534, 4634, 541, 4637, 6690, 4644, 2600, 6700, 6701, 4656, 6704, 4658, 4659, 6709, 4665, 4668, 6719, 4673, 2627, 2630, 6726, 4680, 6728, 2634, 6731, 589, 4686, 6735, 4689, 595, 596, 2645, 599, 600, 2648, 2652, 6748, 606, 4702, 4703, 6756, 613, 6772, 4727, 2682, 6779, 2684, 2686, 6782, 651, 4751, 6802, 4760, 4763, 6814, 2727, 680, 6825, 6826, 686, 687, 2743, 702, 703, 4799, 707, 2759, 714, 717, 4814, 4816, 4825, 6874, 2781, 4829, 6891, 4847, 2803, 6906, 4860, 4862, 4863, 775, 2829, 4877, 788, 6934, 798, 2846, 2849, 4902, 2858, 2862, 821, 6967, 828, 834, 838, 2889, 842, 2891, 848, 4946, 4947, 4951, 2907, 2911, 7009, 7014, 2923, 2924, 7022, 4986, 2941, 2944, 7040, 2953, 909, 7055, 7060, 7065, 922, 927, 2982, 943, 945, 5041, 7093, 5052, 3011, 964, 3013, 966, 5059, 5061, 7112, 5075, 984, 3033, 5081, 5083, 989, 5087, 993, 5089, 1007, 1009, 7155, 3060, 5113, 1020, 7165, 1022, 3075, 3078, 1033, 5130, 3086, 5134, 1040, 5137, 5139, 7187, 5141, 1051, 3101, 3107, 5170, 1077, 1079, 7224, 5178, 3136, 5184, 7235, 1096, 5196, 7247, 7249, 1106, 5205, 7261, 3170, 7266, 5233, 3188, 3189, 3194, 7291, 5249, 5250, 3203, 3214, 5262, 3224, 5272, 1181, 3229, 3242, 3249, 3252, 3256, 3257, 5307, 1214, 5315, 3274, 1227, 3280, 5338, 1248, 3298, 5347, 5350, 1257, 1258, 1268, 5366, 3320, 1278, 5374, 3328, 1291, 3341, 5389, 1296, 3344, 3349, 1303, 3364, 1318, 1320, 1321, 5430, 1337, 1344, 5440, 1358, 5470, 1377, 5476, 1382, 5486, 3444, 3445, 1403, 3460, 5508, 5510, 1416, 5524, 5541, 1451, 1454, 5552, 5553, 3508, 5556, 3513, 1469, 3521, 3542, 5603, 5620, 1531, 3581, 1534, 3583, 5631, 5633, 3589, 1547, 3595, 3599, 1566, 3624, 5674, 5676, 1586, 5686, 3641, 3642, 1603, 5699, 5706, 5716, 3671, 5720, 1632, 3686, 5735, 1645, 5742, 3701, 5752, 1658, 5760, 3717, 3719, 5767, 5769, 3728, 5782, 3738, 1693, 3741, 5805, 1712, 3762, 3765, 1718, 5815, 5820, 5823, 3776, 1736, 1738, 3790, 3793, 5845, 3800, 3803, 3813, 5865, 3822, 5872, 5878, 1790, 3842, 3843, 1798, 3848, 1802, 3850, 1818, 1819, 1821, 5917, 3871, 3872, 1829, 3878, 5927, 1838, 1840, 5936, 3894, 5944, 5946, 3902, 5952, 3907, 3913, 5961, 1868, 1872, 5969, 1886, 3940, 1896, 1909, 6007, 3963, 1916, 1918, 3970, 1930, 6032, 1938, 1946, 1958, 4006, 1962, 4014, 4016, 4019, 4027, 6076, 4029, 6077, 1988, 4037, 6085, 6092, 2013, 4070, 2029, 6130, 4083, 2039, 4091, 6141, 2047]",1
LODA,Road_Accident,0,[],1
OC-SVM,Road_Accident,557,"[0, 6146, 6153, 6157, 4111, 24, 26, 4125, 6179, 2086, 6184, 4143, 4144, 2097, 2101, 6199, 56, 6200, 2107, 4157, 2111, 6209, 2114, 6214, 4167, 6216, 77, 80, 4181, 4183, 88, 2136, 95, 105, 4201, 4205, 4212, 6265, 121, 4223, 2175, 129, 4227, 132, 4231, 136, 139, 2187, 2188, 4243, 148, 2196, 2197, 6293, 6295, 4249, 6304, 168, 2217, 2231, 4282, 6330, 4287, 6339, 2248, 2249, 6345, 2252, 6351, 213, 4311, 2265, 6363, 4318, 225, 230, 4328, 233, 4331, 2289, 6390, 247, 6397, 262, 4359, 2312, 2313, 4363, 6424, 4377, 285, 4381, 2338, 2354, 309, 4405, 6454, 4408, 2361, 2365, 4413, 4421, 4422, 6469, 4430, 336, 6485, 2393, 2397, 6494, 2400, 357, 360, 2408, 2411, 375, 377, 2426, 2427, 6521, 6525, 2439, 407, 412, 6557, 2466, 4514, 2470, 436, 6580, 439, 6583, 2489, 442, 448, 4546, 6594, 4552, 457, 6605, 6608, 465, 473, 4573, 6622, 4575, 6626, 484, 2534, 4586, 492, 2542, 4591, 2547, 2551, 4600, 6651, 4604, 512, 514, 2563, 6662, 2567, 2570, 534, 4634, 541, 4637, 6690, 4644, 2600, 6700, 6701, 4656, 6704, 4658, 4659, 6709, 4665, 4668, 6719, 4673, 2627, 2630, 6726, 4680, 6728, 2634, 6731, 589, 4686, 6735, 4689, 595, 596, 2645, 599, 600, 2648, 2652, 6748, 606, 4702, 4703, 6756, 613, 6772, 4727, 2682, 6779, 2684, 2686, 6782, 651, 4751, 6802, 4760, 4763, 6814, 2727, 680, 6825, 6826, 686, 687, 2743, 702, 703, 4799, 707, 2759, 714, 717, 4814, 4816, 4825, 6874, 2781, 4829, 6891, 4847, 2803, 6906, 4860, 4862, 4863, 775, 2829, 4877, 788, 6934, 798, 2846, 2849, 4902, 2858, 2862, 821, 6967, 828, 834, 838, 2889, 842, 2891, 848, 4946, 4947, 4951, 2907, 2911, 7009, 7014, 2923, 2924, 7022, 4986, 2941, 2944, 7040, 2953, 909, 7055, 7060, 7065, 922, 927, 2982, 943, 945, 5041, 7093, 5052, 3011, 964, 3013, 966, 5059, 5061, 7112, 5075, 984, 3033, 5081, 5083, 989, 5087, 993, 5089, 1007, 1009, 7155, 3060, 5113, 1020, 7165, 1022, 3075, 3078, 1033, 5130, 3086, 5134, 1040, 5137, 5139, 7187, 5141, 1051, 3101, 3107, 5170, 1077, 1079, 7224, 5178, 3136, 5184, 7235, 1096, 5196, 7247, 7249, 1106, 5205, 7261, 3170, 7266, 5233, 3188, 3189, 3194, 7291, 5249, 5250, 3203, 3214, 5262, 3224, 5272, 1181, 3229, 3242, 3249, 3252, 3256, 3257, 5307, 1214, 5315, 3274, 1227, 3280, 5338, 1248, 3298, 5347, 5350, 1257, 1258, 1268, 5366, 3320, 1278, 5374, 3328, 1291, 3341, 5389, 1296, 3344, 3349, 1303, 3364, 1318, 1320, 1321, 5430, 1337, 1344, 5440, 1358, 5470, 1377, 5476, 1382, 5486, 3444, 3445, 1403, 3460, 5508, 5510, 1416, 5524, 5541, 1451, 1454, 5552, 5553, 3508, 5556, 3513, 1469, 3521, 3542, 5603, 5620, 1531, 3581, 1534, 3583, 5631, 5633, 3589, 1547, 3595, 3599, 1566, 3624, 5674, 5676, 1586, 5686, 3641, 3642, 1603, 5699, 5706, 5716, 3671, 5720, 1632, 3686, 5735, 1645, 5742, 3701, 5752, 1658, 5760, 3717, 3719, 5767, 5769, 3728, 5782, 3738, 1693, 3741, 5805, 1712, 3762, 3765, 1718, 5815, 5820, 5823, 3776, 1736, 1738, 3790, 3793, 5845, 3800, 3803, 3813, 5865, 3822, 5872, 5878, 1790, 3842, 3843, 1798, 3848, 1802, 3850, 1818, 1819, 1821, 5917, 3871, 3872, 1829, 3878, 5927, 1838, 1840, 5936, 3894, 5944, 5946, 3902, 5952, 3907, 3913, 5961, 1868, 1872, 5969, 1886, 3940, 1896, 1909, 6007, 3963, 1916, 1918, 3970, 1930, 6032, 1938, 1946, 1958, 4006, 1962, 4014, 4016, 4019, 4027, 6076, 4029, 6077, 1988, 4037, 6085, 6092, 2013, 4070, 2029, 6130, 4083, 2039, 4091, 6141, 2047]",1
Z-Score,Road_Accident,238,"[5633, 3075, 2563, 3589, 2567, 3595, 3086, 4111, 1040, 5139, 7187, 5141, 534, 24, 4634, 4125, 1566, 541, 6690, 3107, 1534, 2600, 6184, 5676, 4659, 6199, 7224, 4668, 3136, 4673, 2114, 2627, 5699, 7235, 1096, 6728, 5706, 6731, 5196, 77, 589, 80, 4689, 1106, 596, 2645, 3671, 600, 5720, 606, 4702, 1632, 3581, 6756, 613, 3686, 105, 5742, 5233, 6772, 3189, 4727, 5752, 2682, 7291, 6782, 5760, 5250, 4227, 132, 3717, 3719, 5769, 3214, 5262, 3728, 4243, 2196, 2197, 4760, 4249, 1693, 3741, 6814, 6304, 2727, 2217, 3242, 6826, 687, 3249, 3252, 2231, 3257, 6330, 5820, 1214, 4799, 3776, 707, 5315, 6339, 1736, 2249, 6345, 1227, 2252, 717, 3790, 4814, 3280, 4816, 6351, 213, 5845, 6874, 4829, 1248, 3298, 5347, 3813, 230, 5350, 4328, 4331, 6891, 2289, 6390, 247, 1278, 4862, 5374, 3843, 262, 4359, 1291, 2829, 4877, 3349, 6934, 798, 3364, 3878, 1320, 1838, 2862, 2354, 821, 3894, 4405, 4408, 2361, 5944, 5946, 6454, 3902, 1344, 6469, 4422, 2889, 842, 3913, 4430, 336, 848, 4946, 5969, 6485, 4951, 2393, 2907, 1886, 5470, 1377, 7009, 360, 2923, 2924, 7022, 3444, 1909, 3445, 2426, 1916, 1918, 2944, 3970, 5508, 5510, 1416, 2953, 7055, 407, 922, 2466, 1958, 1962, 4014, 943, 5552, 945, 5553, 6580, 2489, 442, 4029, 6077, 4546, 3011, 1988, 7112, 6092, 6605, 465, 5075, 984, 5083, 2013, 4573, 4575, 6622, 993, 5089, 5603, 4070, 4586, 2542, 1007, 1009, 6130, 7155, 3060, 5620, 2551, 4091, 6141, 1022, 5631]",1
IQR,Road_Accident,303,"[5633, 6146, 3075, 2563, 3589, 2567, 1547, 3595, 3086, 3599, 1040, 4111, 5137, 5139, 7187, 5141, 534, 24, 4634, 1051, 541, 1566, 4125, 6690, 3107, 1534, 2600, 6184, 5676, 4659, 5686, 6199, 6200, 7224, 2107, 4668, 6719, 3136, 4673, 2114, 7235, 1603, 2627, 5699, 2630, 6214, 1096, 6728, 5706, 6731, 5196, 77, 589, 80, 4689, 1106, 596, 2645, 3671, 600, 5720, 606, 4702, 1632, 3581, 7266, 6756, 613, 3686, 105, 3583, 5742, 5233, 6772, 3189, 4727, 5752, 6265, 2682, 7291, 2684, 6782, 5760, 129, 5250, 4227, 132, 3717, 3719, 5769, 2187, 3214, 4751, 3728, 5262, 4243, 148, 2196, 2197, 6295, 4760, 4249, 3738, 1693, 3229, 3741, 6304, 6814, 2727, 680, 2217, 3242, 6826, 687, 3249, 3252, 1718, 2231, 3257, 4282, 5307, 5820, 6330, 1214, 4287, 3776, 4799, 707, 5315, 6339, 1736, 6345, 2249, 1738, 1227, 2252, 717, 3274, 3790, 3280, 4814, 4816, 6351, 213, 5845, 3800, 5338, 6363, 6874, 4829, 1248, 3298, 5347, 3813, 230, 5350, 4328, 5865, 4331, 6891, 5872, 2289, 6390, 247, 4860, 6397, 1278, 4862, 5374, 3843, 262, 4359, 3848, 1291, 2829, 4877, 3349, 6934, 6424, 1818, 1821, 798, 5917, 3364, 3878, 5927, 1320, 2858, 1838, 2862, 2354, 821, 3894, 4405, 4408, 1337, 2361, 5944, 5946, 6454, 3902, 1344, 6469, 4422, 2889, 842, 2891, 3913, 4430, 336, 848, 4946, 5969, 6485, 4951, 2393, 2907, 2397, 1886, 5470, 1377, 7009, 1382, 7014, 360, 2411, 2923, 2924, 7022, 3444, 1909, 3445, 377, 2426, 1403, 1916, 3963, 1918, 2944, 7040, 3970, 5508, 5510, 1416, 2953, 7055, 407, 922, 2466, 4514, 5541, 1958, 2470, 1962, 4014, 943, 5552, 945, 5553, 436, 5556, 6580, 6583, 2489, 442, 4029, 6077, 3521, 4546, 3011, 1988, 3013, 6594, 7112, 6092, 6605, 465, 5075, 3542, 984, 5083, 989, 2013, 4573, 4575, 993, 5089, 5603, 6622, 4070, 4586, 2542, 1007, 1009, 6130, 7155, 3060, 5620, 2551, 4091, 6141, 1022, 5631]",1
MAD,Road_Accident,238,"[5633, 3075, 2563, 3589, 2567, 3595, 3086, 4111, 1040, 5139, 7187, 5141, 534, 24, 4634, 4125, 1566, 541, 6690, 3107, 1534, 2600, 6184, 5676, 4659, 6199, 7224, 4668, 3136, 4673, 2114, 2627, 5699, 7235, 1096, 6728, 5706, 6731, 5196, 77, 589, 80, 4689, 1106, 596, 2645, 3671, 600, 5720, 606, 4702, 1632, 3581, 6756, 613, 3686, 105, 5742, 5233, 6772, 3189, 4727, 5752, 2682, 7291, 6782, 5760, 5250, 4227, 132, 3717, 3719, 5769, 3214, 5262, 3728, 4243, 2196, 2197, 4760, 4249, 1693, 3741, 6814, 6304, 2727, 2217, 3242, 6826, 687, 3249, 3252, 2231, 3257, 6330, 5820, 1214, 4799, 3776, 707, 5315, 6339, 1736, 2249, 6345, 1227, 2252, 717, 3790, 4814, 3280, 4816, 6351, 213, 5845, 6874, 4829, 1248, 3298, 5347, 3813, 230, 5350, 4328, 4331, 6891, 2289, 6390, 247, 1278, 4862, 5374, 3843, 262, 4359, 1291, 2829, 4877, 3349, 6934, 798, 3364, 3878, 1320, 1838, 2862, 2354, 821, 3894, 4405, 4408, 2361, 5944, 5946, 6454, 3902, 1344, 6469, 4422, 2889, 842, 3913, 4430, 336, 848, 4946, 5969, 6485, 4951, 2393, 2907, 1886, 5470, 1377, 7009, 360, 2923, 2924, 7022, 3444, 1909, 3445, 2426, 1916, 1918, 2944, 3970, 5508, 5510, 1416, 2953, 7055, 407, 922, 2466, 1958, 1962, 4014, 943, 5552, 945, 5553, 6580, 2489, 442, 4029, 6077, 4546, 3011, 1988, 7112, 6092, 6605, 465, 5075, 984, 5083, 2013, 4573, 4575, 6622, 993, 5089, 5603, 4070, 4586, 2542, 1007, 1009, 6130, 7155, 3060, 5620, 2551, 4091, 6141, 1022, 5631]",1
HBOS,Battery_Percentage,271,"[1029, 3590, 5128, 521, 1033, 1545, 1546, 6156, 3598, 5647, 6160, 17, 2065, 19, 532, 1556, 1046, 4118, 1560, 5140, 5145, 6675, 2588, 4124, 6684, 5667, 3108, 6693, 1577, 5673, 6185, 6700, 2094, 1583, 4146, 4147, 5683, 4665, 1082, 6719, 2624, 2626, 3650, 5186, 6210, 6724, 3655, 2120, 4167, 2123, 4173, 6733, 5199, 6226, 5207, 7256, 4700, 6751, 96, 5217, 6754, 1123, 5733, 4200, 3689, 2154, 6766, 2672, 5746, 3699, 118, 4214, 6264, 6774, 2171, 636, 2173, 4220, 2175, 129, 1154, 2178, 2179, 2691, 3204, 135, 1163, 6800, 3219, 1685, 1174, 3222, 5787, 3740, 1184, 1187, 6820, 1189, 678, 1703, 4263, 5799, 4270, 1717, 5814, 4279, 1210, 4797, 5309, 4800, 2244, 197, 5318, 4807, 3785, 6858, 3276, 4303, 1744, 210, 3795, 3284, 5846, 1242, 4314, 2269, 5341, 6370, 3811, 5860, 5351, 744, 1772, 1773, 4333, 1264, 754, 2802, 3831, 2299, 6396, 6908, 1279, 256, 6400, 6914, 4355, 260, 6915, 3847, 3339, 1293, 2830, 5390, 2321, 4881, 6931, 1812, 1307, 6429, 799, 2847, 1826, 2338, 4898, 1323, 1324, 3883, 4910, 303, 819, 312, 827, 2875, 4924, 830, 2879, 4925, 4928, 6974, 836, 3396, 5957, 3916, 3922, 2901, 1366, 5462, 4952, 863, 1887, 2406, 1895, 5991, 1897, 6506, 2925, 5487, 371, 1395, 5496, 1915, 3451, 4476, 4989, 3455, 5500, 5505, 6525, 3461, 2950, 3468, 7052, 2968, 5016, 6552, 411, 3483, 6554, 3486, 7067, 7069, 7071, 5026, 7072, 7073, 5030, 1959, 4008, 1961, 6055, 4011, 3501, 5549, 4529, 946, 5043, 5557, 5558, 6582, 6073, 4026, 3515, 959, 7110, 7111, 1997, 5583, 1489, 7123, 2004, 5588, 473, 2012, 4574, 991, 2527, 3039, 3042, 3556, 4069, 6628, 7141, 3562, 4075, 1008, 1521, 2035, 5622, 5628, 6142]",1
kNN,Battery_Percentage,271,"[1029, 3590, 5128, 521, 1033, 1545, 1546, 6156, 3598, 5647, 6160, 17, 2065, 19, 532, 1556, 1046, 4118, 1560, 5140, 5145, 6675, 2588, 4124, 6684, 5667, 3108, 6693, 1577, 5673, 6185, 6700, 2094, 1583, 4146, 4147, 5683, 4665, 1082, 6719, 2624, 2626, 3650, 5186, 6210, 6724, 3655, 2120, 4167, 2123, 4173, 6733, 5199, 6226, 5207, 7256, 4700, 6751, 96, 5217, 6754, 1123, 5733, 4200, 3689, 2154, 6766, 2672, 5746, 3699, 118, 4214, 6264, 6774, 2171, 636, 2173, 4220, 2175, 129, 1154, 2178, 2179, 2691, 3204, 135, 1163, 6800, 3219, 1685, 1174, 3222, 5787, 3740, 1184, 1187, 6820, 1189, 678, 1703, 4263, 5799, 4270, 1717, 5814, 4279, 1210, 4797, 5309, 4800, 2244, 197, 5318, 4807, 3785, 6858, 3276, 4303, 1744, 210, 3795, 3284, 5846, 1242, 4314, 2269, 5341, 6370, 3811, 5860, 5351, 744, 1772, 1773, 4333, 1264, 754, 2802, 3831, 2299, 6396, 6908, 1279, 256, 6400, 6914, 4355, 260, 6915, 3847, 3339, 1293, 2830, 5390, 2321, 4881, 6931, 1812, 1307, 6429, 799, 2847, 1826, 2338, 4898, 1323, 1324, 3883, 4910, 303, 819, 312, 827, 2875, 4924, 830, 2879, 4925, 4928, 6974, 836, 3396, 5957, 3916, 3922, 2901, 1366, 5462, 4952, 863, 1887, 2406, 1895, 5991, 1897, 6506, 2925, 5487, 371, 1395, 5496, 1915, 3451, 4476, 4989, 3455, 5500, 5505, 6525, 3461, 2950, 3468, 7052, 2968, 5016, 6552, 411, 3483, 6554, 3486, 7067, 7069, 7071, 5026, 7072, 7073, 5030, 1959, 4008, 1961, 6055, 4011, 3501, 5549, 4529, 946, 5043, 5557, 5558, 6582, 6073, 4026, 3515, 959, 7110, 7111, 1997, 5583, 1489, 7123, 2004, 5588, 473, 2012, 4574, 991, 2527, 3039, 3042, 3556, 4069, 6628, 7141, 3562, 4075, 1008, 1521, 2035, 5622, 5628, 6142]",1
